	sw480_APC_1	sw480_APC_2	sw480_APC_3	sw480_CONTROL_1	sw480_CONTROL_2	sw480_CONTROL_3	sw480-1	sw480-2	sw480-3	cds_length	gene_name
NM_001143836	0	3	1	1	0	3	0	1	1	4258	NOX4
NM_001143837	0	3	1	1	0	3	0	1	1	4603	NOX4
NM_001143854	0	0	2	1	3	1	2	1	3	4592	RPH3A
NM_001143968	0	0	0	0	0	0	0	0	0	941	ARL5C
NM_001144059	0	1	0	15	21	26	15	15	19	1962	NTM
NM_001144962_3	0	0	0	0	0	0	0	0	0	1430	NFKBIL1
NM_001144962_4	0	0	0	0	0	0	0	0	0	1430	NFKBIL1
NM_001144963	0	0	0	0	0	0	0	0	0	1385	NFKBIL1
NM_001144963_2	0	0	0	0	0	0	0	0	0	1385	NFKBIL1
NM_001145026	0	0	1	0	0	0	0	0	0	7550	PTPRQ
NM_001145030	0	0	0	0	0	0	0	1	1	5334	TOPAZ1
NM_001145122	0	1	0	0	0	0	0	0	0	3822	CAPN14
NM_001145434	0	1	3	2	0	1	1	1	0	2262	ZNF880
NM_001145457	0	1	0	0	0	0	0	0	0	1150	NCR1
NM_001145458	0	1	0	0	0	0	0	0	0	1102	NCR1
NM_001145465	0	1	0	0	0	0	0	0	0	907	NANOGNB
NM_001145472	0	0	0	0	0	0	0	0	0	3965	LOXHD1
NM_001145473	0	0	0	0	0	0	0	0	0	1977	LOXHD1
NM_001145847	0	1	1	0	0	0	1	0	0	4257	PROM1
NM_001145848	0	1	1	0	0	0	1	0	0	3973	PROM1
NM_001145849	0	1	1	0	0	0	1	0	0	3908	PROM1
NM_001145850	0	1	1	0	0	0	1	0	0	3884	PROM1
NM_001145851	0	1	1	0	0	0	1	0	0	3881	PROM1
NM_001145852	0	1	1	0	0	0	1	0	0	3857	PROM1
NM_001145903	0	0	0	0	0	0	0	0	0	2442	C2
NM_001145903_2	0	0	0	0	0	0	0	0	0	2442	C2
NM_001146077	0	0	0	0	0	0	0	0	0	1452	CLDN14
NM_001146078	0	0	0	0	0	0	0	0	0	1548	CLDN14
NM_001146079	0	0	0	0	0	0	0	0	0	1751	CLDN14
NM_001146172	0	0	0	0	0	0	0	1	0	883	SLAMF9
NM_001146173	0	0	0	0	0	0	0	1	0	747	SLAMF9
NM_001159707	0	0	0	0	0	0	0	0	0	1751	BTNL8
NM_001159708	0	0	0	0	0	0	0	0	0	2208	BTNL8
NM_001159709	0	0	0	0	0	0	0	0	0	1802	BTNL8
NM_001159927	0	0	1	0	0	0	0	1	0	1464	FBXW12
NM_001159929	0	0	1	0	0	0	0	1	0	1473	FBXW12
NM_001159995	0	0	0	1	2	2	0	0	5	2427	NRG1
NM_001159996	0	0	0	2	2	3	1	1	4	2411	NRG1
NM_001159999	0	0	0	1	2	2	0	0	5	2478	NRG1
NM_001160001	0	0	0	1	2	2	0	0	5	2376	NRG1
NM_001160004	0	0	0	1	2	2	0	0	5	3211	NRG1
NM_001160005	0	1	0	2	4	6	1	1	5	1625	NRG1
NM_001160008	0	0	0	1	2	2	1	0	5	2359	NRG1
NM_001161429	0	0	0	1	0	0	0	0	0	2618	RANBP3L
NM_001161575	0	0	0	1	0	1	0	0	0	2131	LRRC36
NM_001161748	0	0	0	1	0	1	1	0	1	858	LIM2
NM_001163629	0	0	0	0	0	0	0	0	0	3165	C1orf129
NM_001163771_3	0	0	0	0	0	0	0	0	0	1208	COL11A2
NM_001163771_4	0	0	0	0	0	0	0	0	0	1208	COL11A2
NM_001164457	0	0	1	0	0	1	0	0	0	925	ZNF705G
NM_001164467_6	0	0	0	0	0	0	0	0	0	1611	DUX4L3
NM_001164595	0	0	0	0	0	0	0	0	0	3819	PDZRN4
NM_001164883	0	0	0	0	0	0	1	1	0	3853	CTNNA2
NM_001166034	0	2	2	0	3	1	0	1	1	1986	SBSN
NM_001166035	0	1	1	0	2	1	0	1	1	723	SBSN
NM_001166058	0	0	0	0	0	0	0	0	0	2731	RXFP2
NM_001166247	0	1	0	0	0	0	0	0	0	4724	GRIK2
NM_001166538_3	0	0	0	0	0	0	0	0	0	555	LST1
NM_001166538_4	0	0	0	0	0	0	0	0	0	555	LST1
NM_001166624	0	0	0	0	0	0	0	0	0	1457	CFHR3
NM_001168316	0	1	0	0	0	0	0	0	0	2283	UGT3A2
NM_001168407	0	1	0	0	0	0	0	0	0	5780	RIMS1
NM_001168408	0	1	0	0	0	0	0	0	0	5195	RIMS1
NM_001168409	0	1	0	0	0	0	0	0	0	5052	RIMS1
NM_001168410	0	1	0	0	0	0	0	0	0	5339	RIMS1
NM_001168411	0	1	0	0	0	0	0	0	0	3279	RIMS1
NM_001168647	0	0	0	0	0	0	0	0	0	5669	CNKSR2
NM_001168648	0	0	0	0	0	0	0	0	0	4502	CNKSR2
NM_001168649	0	0	0	0	0	0	0	0	0	4355	CNKSR2
NM_001169126	0	1	0	0	0	0	0	0	0	1254	TMIGD2
NM_001170	0	0	0	0	0	0	1	0	0	1256	AQP7
NM_001170695	0	0	0	0	0	0	0	0	0	1403	SPATA22
NM_001170696	0	0	0	0	0	0	0	0	0	1274	SPATA22
NM_001170697	0	0	0	0	0	0	0	0	0	1409	SPATA22
NM_001170698	0	0	0	0	0	0	0	0	0	1424	SPATA22
NM_001170699	0	0	0	0	0	0	0	0	0	1545	SPATA22
NM_001171706	0	1	0	0	1	0	0	0	0	1045	RIPPLY1
NM_001171873	0	1	0	0	0	0	0	0	0	3097	UGT3A1
NM_001171971	0	1	0	1	2	0	1	4	2	2687	CDHR1
NM_001172288	0	1	0	0	0	0	0	0	0	1338	CT45A5
NM_001172766	0	0	0	0	0	0	0	0	0	6365	FOXP2
NM_001172767	0	0	0	0	0	0	0	0	0	1485	FOXP2
NM_001173129	0	0	0	0	0	0	0	0	0	1840	LOXHD1
NM_001173461	0	0	0	0	0	0	0	0	0	7262	SHISA6
NM_001173462	0	0	0	0	0	0	0	0	0	7358	SHISA6
NM_001173531_3	0	1	0	0	0	0	0	0	0	1246	POU5F1
NM_001173551	0	2	3	0	0	1	0	0	2	3527	TMPRSS4
NM_001173552	0	2	3	0	0	1	0	0	2	3413	TMPRSS4
NM_001177520	0	0	0	68	53	74	41	30	36	2315	ALPL
NM_001177711	0	0	0	0	0	1	1	0	0	8169	RBMS3
NM_001177875	0	1	0	0	0	0	6	9	5	4824	PCSK1
NM_001177876	0	1	0	0	0	0	5	5	4	4070	PCSK1
NM_001181	0	0	0	2	0	2	0	1	1	1456	ASGR2
NM_001184880	0	0	0	0	1	1	1	0	0	9756	PCDH19
NM_001190452	0	90	83	51	49	39	50	80	51	1555	MTRNR2L1
NM_001190476	0	1	5	2	1	1	2	2	2	1231	MTRNR2L4
NM_001190487	0	10	14	13	5	12	6	14	6	1395	MTRNR2L6
NM_001190708	0	69	58	50	48	54	33	65	47	1121	MTRNR2L10
NM_001190726	0	0	0	0	0	0	0	1	0	2268	RERG
NM_001191058	0	0	0	0	0	0	0	1	0	2712	PDE1C
NM_001193306	0	1	0	0	1	0	2	0	1	1371	FPR1
NM_001195081	0	0	0	0	0	0	0	0	0	645	LOC100288814
NM_001195202_3	0	0	0	0	0	0	0	0	0	1062	LOC100129636
NM_001195202_4	0	0	0	0	0	0	0	0	0	1062	LOC100129636
NM_001195202_6	0	0	0	0	0	0	0	0	0	1062	LOC100129636
NM_001195234	0	2	0	0	0	0	0	0	0	2163	TRIM49C
NM_001195278	0	0	1	1	1	0	1	2	0	10557	TMEM178B
NM_001195535	0	0	0	0	0	0	0	0	0	441	LOC100505841
NM_001195797	0	0	4	1	3	4	2	7	1	525	LY96
NM_001198546	0	0	0	0	0	0	0	0	0	3765	NOL4
NM_001198547	0	0	0	0	0	0	0	0	0	3846	NOL4
NM_001198548	0	0	0	0	0	0	0	0	0	3651	NOL4
NM_001198621	0	1	0	1	0	2	3	2	1	6033	XIRP1
NM_001198815_2	0	2	1	3	1	1	1	2	1	5975	MUC22
NM_001198853	0	1	1	0	0	0	0	0	0	1962	CYP2C8
NM_001198854	0	1	1	0	0	0	0	0	0	1799	CYP2C8
NM_001198855	0	1	1	0	0	0	0	0	0	2024	CYP2C8
NM_001199085	0	0	0	0	1	0	0	0	0	3955	TDRD5
NM_001199089	0	0	0	0	1	0	0	0	0	3668	TDRD5
NM_001199091	0	0	0	0	1	0	0	0	0	3634	TDRD5
NM_001199092	0	0	0	0	1	0	0	0	0	2478	TDRD5
NM_001199159	0	2	0	0	0	0	1	0	0	2085	PI16
NM_001199237	0	1	0	0	0	1	0	0	1	2793	GPANK1
NM_001199238_3	0	1	0	0	0	1	0	0	1	2662	GPANK1
NM_001199239_5	0	1	0	0	0	1	0	0	1	2659	GPANK1
NM_001199240_5	0	1	0	0	0	1	0	0	1	2445	GPANK1
NM_001199893	0	1	0	0	0	0	0	0	0	1202	ACTG2
NM_001199978	0	1	0	0	0	1	0	0	0	1598	PLSCR2
NM_001200049	0	1	1	0	0	0	0	1	0	8278	TTC40
NM_001201352	0	0	0	2	0	2	0	1	1	1441	ASGR2
NM_001201359	0	1	0	2	2	1	1	0	0	999	CCL25
NM_001201538	0	0	0	0	0	0	0	0	0	2082	ARSF
NM_001201539	0	0	0	0	0	0	0	0	0	2167	ARSF
NM_001201550	0	0	0	0	0	0	0	0	0	2181	CFHR4
NM_001201551	0	0	0	0	0	0	0	0	0	2178	CFHR4
NM_001202855	0	1	0	1	0	0	0	0	1	2789	CYP3A4
NM_001204065	0	0	0	0	1	1	0	1	1	3109	ANKS1B
NM_001204066	0	0	0	0	2	1	0	1	1	2973	ANKS1B
NM_001204067	0	0	0	0	2	1	0	1	2	3067	ANKS1B
NM_001204068	0	0	0	0	2	1	1	1	2	3549	ANKS1B
NM_001204069	0	0	0	0	2	1	1	1	2	3425	ANKS1B
NM_001204070	0	0	0	0	2	1	1	1	2	3353	ANKS1B
NM_001204078_6	0	0	0	0	0	0	0	0	0	1483	ATP6V1G2
NM_001204079	0	0	0	0	1	1	0	1	1	3109	ANKS1B
NM_001204080	0	0	0	0	1	1	0	1	1	3037	ANKS1B
NM_001204213	0	1	0	1	0	0	0	0	1	10775	NOS1
NM_001204214	0	1	0	1	0	0	0	0	1	10770	NOS1
NM_001204218	0	1	0	2	0	0	0	0	1	12285	NOS1
NM_001204760	0	0	0	0	0	0	0	0	0	2312	TLL1
NM_001204824	0	0	0	2	1	1	1	1	3	10699	KCNQ3
NM_001205265	0	1	3	0	2	6	4	5	7	1806	TP53TG3B
NM_001206850	0	0	0	0	0	0	0	0	0	5079	NLGN4Y
NM_001206927	0	0	0	0	0	0	0	0	0	14639	DNAH8
NM_001206955	0	2	1	1	1	0	2	0	2	5206	CNTN4
NM_001207010	0	0	0	0	0	0	0	0	0	1428	CLEC12A
NM_001207043_2	0	1	0	0	0	0	0	0	0	1285	LOC554223
NM_001207043_5	0	0	0	0	0	0	0	0	0	1264	LOC554223
NM_001207043_8	0	0	0	0	0	0	0	0	0	1285	LOC554223
NM_001220494	0	0	0	0	0	0	0	0	0	2364	GLYATL1
NM_001220496	0	0	0	0	0	0	0	0	0	2192	GLYATL1
NM_001234	0	1	0	0	0	0	3	0	0	1335	CAV3
NM_001242326_6	0	0	0	0	0	0	0	0	0	1593	USP17L25
NM_001242327	0	0	0	0	0	0	0	0	0	1593	USP17L24
NM_001242328_5	0	0	0	0	0	0	0	0	0	1593	USP17L26
NM_001242329_4	0	0	0	0	0	0	0	0	0	1593	USP17L5
NM_001242330_7	0	0	0	0	0	0	0	0	0	1593	USP17L27
NM_001242331_6	0	0	0	0	0	0	0	0	0	1593	USP17L28
NM_001242332_4	0	0	0	0	0	0	0	0	0	1593	USP17L29
NM_001242356	0	1	0	0	0	0	0	0	0	868	NCR1
NM_001242357	0	1	0	0	0	0	0	0	0	817	NCR1
NM_001242524	0	0	0	0	0	0	0	0	0	1772	HLA-DPA1
NM_001242524_3	0	0	0	0	0	0	0	0	0	1772	HLA-DPA1
NM_001242524_5	0	0	0	0	0	0	0	0	0	1772	HLA-DPA1
NM_001242525_4	0	0	0	0	0	0	0	0	0	1696	HLA-DPA1
NM_001242525_5	0	0	0	0	0	0	0	0	0	1696	HLA-DPA1
NM_001242525_6	0	0	0	0	0	0	0	0	0	1696	HLA-DPA1
NM_001242589	0	1	0	0	0	0	0	0	0	2085	TREM1
NM_001242590	0	1	0	0	0	0	0	0	0	1440	TREM1
NM_001242637	0	0	1	1	3	5	0	1	1	2660	IL31RA
NM_001242638	0	2	2	1	3	6	1	1	1	3024	IL31RA
NM_001242908	0	0	0	0	1	2	1	1	0	2910	RSPO1
NM_001242909	0	0	0	0	1	2	1	1	0	2589	RSPO1
NM_001242910	0	0	0	0	1	1	1	1	0	2721	RSPO1
NM_001242922_9	0	0	0	0	0	0	0	0	0	1293	CT47A12
NM_001243093	0	1	0	0	0	0	0	0	0	4797	FYB
NM_001243507	0	1	0	0	0	0	0	0	1	5606	ESRRG
NM_001243509	0	1	0	0	0	0	0	0	1	5697	ESRRG
NM_001243510	0	1	0	0	0	0	0	0	1	5226	ESRRG
NM_001243511	0	1	0	0	0	0	0	0	1	5108	ESRRG
NM_001243512	0	1	0	0	0	0	0	0	1	5262	ESRRG
NM_001243513	0	1	0	0	0	0	0	0	1	5282	ESRRG
NM_001243514	0	1	0	0	0	0	0	0	1	5439	ESRRG
NM_001243515	0	2	1	0	0	0	0	0	1	5538	ESRRG
NM_001243518	0	2	1	0	0	0	0	0	1	5392	ESRRG
NM_001243519	0	2	1	0	0	0	0	0	1	5542	ESRRG
NM_001243962	0	4	4	0	0	0	0	0	0	1638	HLA-DQB1
NM_001244683	0	0	0	0	0	0	0	0	0	6559	PDE3A
NM_001244764	0	1	2	0	0	0	0	2	0	2449	TNIP3
NM_001251987	0	0	1	0	0	0	0	0	0	4754	TRDN
NM_001252195	0	0	1	2	1	4	4	0	4	636	C9orf24
NM_001253750	0	0	0	0	0	0	0	0	0	1572	CLECL1
NM_001253849	0	0	0	0	0	0	0	0	0	2720	VTCN1
NM_001253850	0	0	0	0	0	0	0	0	0	2290	VTCN1
NM_001253854	0	0	0	1	0	0	0	2	0	2974	SPAG6
NM_001253855	0	0	0	1	0	0	0	1	0	2784	SPAG6
NM_001253909	0	1	1	2	0	2	0	0	1	1064	AKR1C3
NM_001256020	0	0	0	0	0	0	0	0	0	1844	TRDN
NM_001256063	0	1	2	1	0	2	3	5	4	3315	CNTN1
NM_001256064	0	1	2	1	0	2	3	6	4	3528	CNTN1
NM_001256114	0	1	0	0	0	0	0	0	0	1764	LHX8
NM_001256316	0	0	0	0	0	0	0	0	0	2221	CHST9
NM_001256346	0	1	0	0	0	0	1	0	0	4933	SEMA5B
NM_001256347	0	1	0	0	0	0	1	0	0	4579	SEMA5B
NM_001256369	0	1	2	1	0	0	0	0	0	2653	CCR9
NM_001256560	0	0	0	0	0	0	0	0	0	986	DNASE1L3
NM_001256573	0	1	0	1	0	0	0	0	0	5474	CHRNA4
NM_001256867_2	0	0	0	0	0	0	0	0	0	1593	USP17L30
NM_001257308	0	0	0	0	0	0	0	0	0	573	KIAA1024L
NM_001257357	0	1	0	3	2	5	4	2	1	4233	RAB44
NM_001261414	0	0	0	0	0	0	0	0	0	4300	SOX5
NM_001261415	0	0	0	0	0	0	0	0	0	4340	SOX5
NM_001261817	0	1	0	2	0	0	0	0	0	1914	TCP11
NM_001261818	0	1	0	2	0	0	0	0	0	1791	TCP11
NM_001261819	0	1	0	2	0	0	0	0	0	1776	TCP11
NM_001261820	0	1	0	2	0	0	0	0	0	2135	TCP11
NM_001261821	0	1	0	2	0	0	0	0	0	2120	TCP11
NM_001267701	0	0	0	0	0	0	0	0	0	1438	CLECL1
NM_001267813_3	0	1	3	0	2	6	4	5	7	1806	TP53TG3
NM_001269053	0	0	0	0	0	0	0	0	0	641	DYDC1
NM_001270041	0	1	0	0	2	0	0	0	1	1723	DYDC2
NM_001270042	0	1	0	0	2	0	0	0	1	1736	DYDC2
NM_001270428	0	1	0	0	1	2	0	0	1	967	LMO1
NM_001270974	0	0	0	4	0	2	0	0	0	15746	HYDIN
NM_001270989	0	3	1	0	0	0	0	1	0	2695	EPGN
NM_001270990	0	3	1	0	0	0	0	1	0	2569	EPGN
NM_001270991	0	3	1	0	0	0	0	1	0	2542	EPGN
NM_001270992	0	3	1	0	0	0	0	1	0	2542	EPGN
NM_001270993	0	3	1	0	0	0	0	1	0	2515	EPGN
NM_001271049	0	1	0	0	1	0	1	0	1	2840	PCDP1
NM_001271507	0	2	0	0	0	0	0	0	3	4179	CCDC177
NM_001271751	0	1	0	0	0	0	0	0	1	5990	CALCRL
NM_001271755	0	1	0	9	9	9	3	4	1	2371	ITGBL1
NM_001271756	0	1	0	8	8	8	2	4	1	2010	ITGBL1
NM_001290	0	0	0	0	0	0	0	0	0	2539	LDB2
NM_001372	0	0	0	0	0	2	2	3	0	13750	DNAH9
NM_001438	0	2	1	0	0	0	0	0	1	5243	ESRRG
NM_001465	0	1	0	0	0	0	0	0	0	4844	FYB
NM_001472_4	0	0	0	0	0	0	0	0	0	538	GAGE2C
NM_001615	0	1	0	0	0	0	0	0	0	1331	ACTG2
NM_001622	0	2	0	1	0	0	0	1	0	1573	AHSG
NM_001646	0	1	0	0	0	0	0	0	0	615	APOC4
NM_001700	0	1	0	5	7	4	2	1	1	912	AZU1
NM_001710_6	0	0	0	0	0	0	0	0	0	2627	CFB
NM_001713	0	0	0	3	0	0	0	0	0	2500	BHMT
NM_001721	0	1	0	0	1	0	0	0	0	2521	BMX
NM_001738	0	0	0	0	0	0	0	0	0	1263	CA1
NM_001739	0	0	0	0	1	0	0	0	0	1084	CA5A
NM_001795	0	2	1	1	0	1	0	0	0	4128	CDH5
NM_001850	0	0	0	0	0	0	0	1	0	3091	COL8A1
NM_001855	0	1	0	2	0	1	1	2	1	5273	COL15A1
NM_001884	0	1	0	0	0	0	0	0	0	4678	HAPLN1
NM_002009	0	1	1	0	1	2	0	0	1	3936	FGF7
NM_002029	0	1	0	0	1	0	2	0	1	1317	FPR1
NM_002102	0	0	0	0	0	0	0	0	0	497	GYPE
NM_002121_6	0	0	0	0	0	0	0	0	0	4055	HLA-DPB1
NM_002181	0	3	0	2	0	2	3	1	2	2072	IHH
NM_002216	0	0	0	0	0	0	0	0	0	3189	ITIH2
NM_002258	0	0	0	0	0	0	0	0	0	740	KLRB1
NM_002310	0	2	5	0	0	0	3	0	0	10090	LIFR
NM_002315	0	1	0	1	1	3	0	0	1	1299	LMO1
NM_002377	0	1	0	0	0	0	0	0	0	1134	MAS1
NM_002471	0	1	0	0	0	0	1	0	0	5941	MYH6
NM_002472	0	1	0	0	0	0	0	0	0	6038	MYH8
NM_002500	0	1	0	0	0	0	0	0	0	3002	NEUROD1
NM_002511	0	1	0	0	0	0	0	1	0	1354	NMBR
NM_002516	0	1	1	3	2	2	8	5	2	1877	NOVA2
NM_002563	0	4	2	0	0	0	2	1	2	3108	P2RY1
NM_002589	0	1	2	8	7	4	9	4	12	4646	PCDH7
NM_002725	0	1	5	1	2	2	1	2	1	5819	PRELP
NM_002738	0	1	0	4	2	3	2	3	5	8014	PRKCB
NM_002772	0	0	0	0	0	0	1	0	0	3944	TMPRSS15
NM_002780	0	1	1	0	3	2	1	2	1	2032	PSG4
NM_002825	0	0	0	0	0	0	0	0	0	1545	PTN
NM_002854	0	1	0	10	2	6	3	3	1	572	PVALB
NM_002964	0	1	0	0	0	0	0	0	0	523	S100A8
NM_002986	0	1	0	0	0	0	0	0	0	925	CCL11
NM_003019	0	2	1	0	2	1	2	4	2	1283	SFTPD
NM_003026	0	0	5	0	0	0	1	2	1	2728	SH3GL2
NM_003034	0	2	6	4	5	1	1	0	4	9714	ST8SIA1
NM_003053	0	0	0	2	0	0	1	0	1	2753	SLC18A1
NM_003120	0	0	0	0	0	1	2	0	0	1405	SPI1
NM_003235	0	0	0	33	34	38	34	47	41	8453	TG
NM_003285	0	0	0	0	0	0	0	0	0	5190	TNR
NM_003294	0	2	0	0	0	1	0	0	0	1194	TPSAB1
NM_003323	0	0	0	1	0	0	0	0	0	1760	TULP2
NM_003327	0	3	2	0	0	0	1	0	0	1104	TNFRSF4
NM_003357	0	0	0	0	0	0	0	0	0	452	SCGB1A1
NM_003391	0	1	0	1	0	0	1	1	0	2906	WNT2
NM_003417	0	1	0	2	0	1	2	2	4	12163	ZNF264
NM_003493	0	2	0	0	0	1	0	0	0	481	HIST3H3
NM_003513	0	1	0	1	1	2	2	4	1	477	HIST1H2AB
NM_003529	0	1	1	1	6	2	6	4	3	469	HIST1H3A
NM_003535	0	2	0	1	1	1	7	0	4	478	HIST1H3J
NM_003578	0	2	0	2	3	2	3	0	3	2073	SOAT2
NM_003608	0	1	1	2	2	1	0	1	5	4522	GPR65
NM_003643	0	2	1	0	0	0	0	0	1	2764	GCM1
NM_003695	0	1	0	2	0	0	1	1	0	802	LY6D
NM_003722	0	1	0	0	0	0	0	0	0	4909	TP63
NM_003728	0	0	0	0	0	0	0	0	0	9878	UNC5C
NM_003771	0	1	0	2	1	1	3	7	1	1644	KRT36
NM_003782_5	0	0	0	0	0	0	0	0	0	1686	B3GALT4
NM_003785	0	2	2	0	0	2	1	1	2	664	PAGE1
NM_003787	0	0	0	0	0	0	0	0	0	3957	NOL4
NM_003914	0	1	0	2	0	1	0	1	1	1965	CCNA1
NM_004084_2	0	0	0	0	0	0	0	0	0	498	DEFA1
NM_004100	0	1	1	1	0	0	0	0	0	5693	EYA4
NM_004123	0	3	0	28	27	34	10	12	5	711	GIP
NM_004133	0	0	0	0	0	0	0	0	0	4093	HNF4G
NM_004246	0	1	0	1	0	1	0	0	0	1662	GLP2R
NM_004389	0	0	1	0	0	0	1	1	0	3988	CTNNA2
NM_004440	0	0	0	0	0	0	0	0	0	6642	EPHA7
NM_004469	0	0	2	3	2	3	1	2	0	2074	FIGF
NM_004519	0	0	0	2	1	1	1	1	3	11248	KCNQ3
NM_004540	0	0	0	0	0	0	0	0	0	5002	NCAM2
NM_004557	0	0	0	0	0	0	0	0	0	6745	NOTCH4
NM_004557_6	0	0	0	0	0	0	0	0	0	6745	NOTCH4
NM_004616	0	2	2	0	0	0	0	2	0	1130	TSPAN8
NM_004662	0	0	0	0	0	1	1	1	0	3147	DNAH9
NM_004744	0	3	0	4	0	0	1	1	1	4888	LRAT
NM_004791	0	1	0	9	9	9	3	4	1	2518	ITGBL1
NM_004829	0	1	0	0	0	0	0	0	0	1153	NCR1
NM_004887	0	1	0	518	378	553	490	448	410	1973	CXCL14
NM_004909_2	0	1	0	0	0	0	0	0	0	796	CSAG2
NM_004932	0	1	0	0	1	0	1	0	1	8571	CDH6
NM_004944	0	1	0	0	0	0	0	0	0	1076	DNASE1L3
NM_004962	0	1	0	0	0	0	1	0	0	2647	GDF10
NM_004983	0	0	0	1	2	0	2	3	1	3029	KCNJ9
NM_004997	0	1	0	14	13	11	14	33	23	1806	MYBPH
NM_005208	0	0	1	0	0	0	0	0	0	790	CRYBA1
NM_005212	0	1	0	0	0	0	0	0	0	808	CSN3
NM_005213	0	1	0	1	0	0	0	1	1	827	CSTA
NM_005297	0	1	0	1	3	3	5	5	10	2423	MCHR1
NM_005302	0	1	2	0	0	0	0	0	0	3815	GPR37
NM_005335	0	2	2	0	1	3	1	1	2	2033	HCLS1
NM_005360	0	2	0	0	0	0	2	3	1	2647	MAF
NM_005447	0	1	0	1	0	1	0	0	1	1796	RASSF9
NM_005538	0	0	0	1	1	3	2	0	3	1990	INHBC
NM_005624	0	1	0	2	2	1	1	0	0	1002	CCL25
NM_005651	0	2	0	0	0	1	0	2	2	1703	TDO2
NM_005764	0	6	0	0	0	0	1	0	0	894	PDZK1IP1
NM_005795	0	1	0	0	0	0	0	0	1	6155	CALCRL
NM_005803_5	0	0	0	0	0	0	0	0	0	653	FLOT1
NM_005814	0	1	1	0	0	0	0	2	0	2793	GPA33
NM_005943	0	1	0	0	0	1	0	1	0	4163	MOCS1
NM_005950	0	6	2	0	1	2	1	2	2	396	MT1G
NM_006017	0	1	1	0	0	0	1	0	0	3977	PROM1
NM_006073	0	0	0	0	0	0	0	0	0	4770	TRDN
NM_006113	0	2	0	0	1	0	0	2	1	4769	VAV3
NM_006262	0	1	2	19	20	18	10	3	10	1833	PRPH
NM_006398	0	0	0	0	0	0	0	0	0	990	UBD
NM_006398_7	0	0	0	0	0	0	0	0	0	990	UBD
NM_006551	0	1	0	0	0	0	0	0	0	438	SCGB1D2
NM_006641	0	1	2	1	0	0	0	0	0	2518	CCR9
NM_006684	0	0	0	0	0	0	0	0	0	1440	CFHR4
NM_006687	0	1	0	0	0	0	0	0	0	1433	ACTL7A
NM_006748	0	1	1	13	15	12	34	47	33	2825	SLA
NM_006778_8	0	0	0	0	0	0	0	0	0	3544	TRIM10
NM_006781_5	0	0	0	0	0	0	0	0	0	1900	C6orf10
NM_006781_7	0	0	0	0	0	0	0	0	0	1881	C6orf10
NM_006786	0	1	0	0	0	0	0	0	0	570	UTS2
NM_006847	0	0	0	0	0	0	0	0	0	2085	LILRB4
NM_006898	0	2	0	1	0	0	2	3	1	2299	HOXD3
NM_006906	0	0	0	0	1	1	0	0	0	3135	PTPN5
NM_006913	0	0	0	0	0	0	0	0	0	1137	RNF5
NM_006913_2	0	0	0	0	0	0	0	0	0	1137	RNF5
NM_006913_5	0	0	0	0	0	0	0	0	0	1137	RNF5
NM_006940	0	0	0	0	0	0	0	0	0	4316	SOX5
NM_006979_5	0	0	0	0	0	0	0	0	0	2454	SLC39A7
NM_007072	0	1	1	3	4	8	9	12	5	2660	HHLA2
NM_007085	0	2	0	4	6	0	5	6	1	3840	FSTL1
NM_007123	0	0	0	0	0	0	0	0	0	6316	USH2A
NM_007161	0	0	0	0	0	0	0	0	0	648	LST1
NM_007161_5	0	0	0	0	0	0	0	0	0	648	LST1
NM_007168	0	0	0	0	0	0	0	0	0	5720	ABCA8
NM_007332	0	0	0	0	0	0	0	0	0	5190	TRPA1
NM_007333	0	1	2	2	0	0	2	2	0	843	KLRC3
NM_012147_18	0	0	0	0	0	0	0	0	0	1540	DUX2
NM_012196	0	0	0	0	0	0	0	0	0	517	GAGE8
NM_012196_2	0	0	0	0	0	0	0	0	0	520	GAGE8
NM_012196_3	0	0	0	0	0	0	0	0	0	517	GAGE8
NM_012205	0	1	0	0	0	1	1	2	2	1284	HAAO
NM_012226	0	0	0	0	0	1	0	0	0	1614	P2RX2
NM_012387	0	0	2	3	0	0	0	0	0	2265	PADI4
NM_012409	0	1	0	0	0	0	0	1	0	3980	PRND
NM_012443	0	0	0	1	0	0	0	1	0	2619	SPAG6
NM_012452	0	0	0	0	0	0	0	0	0	1358	TNFRSF13B
NM_012464	0	0	0	0	0	0	0	0	0	7270	TLL1
NM_012471	0	1	0	0	0	0	0	0	0	5840	TRPC5
NM_013259	0	2	0	4	2	2	3	6	5	1489	TAGLN3
NM_013281	0	1	2	0	0	1	3	5	2	3830	FLRT3
NM_013371	0	1	1	0	0	3	2	3	2	1832	IL19
NM_013956	0	0	0	1	2	2	0	0	5	3093	NRG1
NM_013957	0	0	0	1	2	2	0	0	5	3069	NRG1
NM_013958	0	1	0	2	4	6	1	1	5	1727	NRG1
NM_013959	0	1	0	2	4	6	1	1	5	2361	NRG1
NM_013960	0	0	0	1	1	2	0	0	4	3220	NRG1
NM_013964	0	0	0	1	1	2	0	0	4	3078	NRG1
NM_014020	0	0	4	0	1	2	1	7	2	1429	TMEM176B
NM_014046_5	0	0	0	0	0	0	0	0	0	1534	MRPS18B
NM_014069_5	0	0	0	0	0	0	0	0	0	1152	PSORS1C2
NM_014234	0	0	0	0	0	0	0	0	0	995	HSD17B8
NM_014379	0	1	2	0	0	0	0	0	1	2929	KCNV1
NM_014439	0	1	3	1	1	0	0	3	0	771	IL37
